--------- beginning of /dev/log/main
E/fusion_analysis( 8830): FPS = 32
E/fusion_analysis( 8830): FPS = 40
E/fusion_analysis( 8830): FPS = 32
E/fusion_analysis( 8830): FPS = 25
E/fusion_analysis( 8830): FPS = 35
E/fusion_analysis( 8830): FPS = 35
E/fusion_analysis( 8830): FPS = 30
E/fusion_analysis( 8830): FPS = 25
E/fusion_analysis( 8830): FPS = 22
E/fusion_analysis( 8830): FPS = 31
E/fusion_analysis( 8830): FPS = 35
E/fusion_analysis( 8830): FPS = 31
E/fusion_analysis( 8830): FPS = 40
E/fusion_analysis( 8830): FPS = 36
E/fusion_analysis( 8830): FPS = 33
E/fusion_analysis( 8830): FPS = 36
E/fusion_analysis( 8830): FPS = 27
E/fusion_analysis( 8830): FPS = 23
E/fusion_analysis( 8830): FPS = 24
E/fusion_analysis( 8830): FPS = 23
E/fusion_analysis( 8830): FPS = 33
E/fusion_analysis( 8830): FPS = 35
E/fusion_analysis( 8830): FPS = 22
E/fusion_analysis( 8830): FPS = 24
E/fusion_analysis( 8830): FPS = 31
E/fusion_analysis( 8830): FPS = 36
E/fusion_analysis( 8830): FPS = 29
E/fusion_analysis( 8830): FPS = 31
E/fusion_analysis( 8830): FPS = 26
E/fusion_analysis( 8830): FPS = 33
E/fusion_analysis( 8830): FPS = 27
E/fusion_analysis( 8830): FPS = 32
E/fusion_analysis( 8830): FPS = 32
E/fusion_analysis( 8830): FPS = 36
E/fusion_analysis( 8830): FPS = 38
E/fusion_analysis( 8830): FPS = 29
E/fusion_analysis( 8830): FPS = 28
E/fusion_analysis( 8830): FPS = 31
E/fusion_analysis( 8830): FPS = 34
E/fusion_analysis( 8830): FPS = 34
E/fusion_analysis( 8830): FPS = 23
E/fusion_analysis( 8830): FPS = 35
E/fusion_analysis( 8830): FPS = 36
E/fusion_analysis( 8830): FPS = 35
E/fusion_analysis( 8830): FPS = 33
E/fusion_analysis( 8830): FPS = 38
E/fusion_analysis( 8830): FPS = 36
E/fusion_analysis( 8830): FPS = 40
E/fusion_analysis( 8830): FPS = 31
E/fusion_analysis( 8830): FPS = 39
E/fusion_analysis( 8830): FPS = 33
E/fusion_analysis( 8830): FPS = 39
E/fusion_analysis( 8830): FPS = 27
E/fusion_analysis( 8830): FPS = 34
E/fusion_analysis( 8830): FPS = 31
E/fusion_analysis( 8830): FPS = 16
E/fusion_analysis( 8830): FPS = 19
