--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 23
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 21
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 22
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 23
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 23
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 23
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 23
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 21
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 23
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 28
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 26
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 25
E/fusion_analysis( 1514): FPS = 24
E/fusion_analysis( 1514): FPS = 27
E/fusion_analysis( 1514): FPS = 26
